goal_id,match_id,team_id,player_name,reported_player_name,player_id,minute,stoppage,period,goal_type,assist_player_id,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at
MW_CRFA_2627_G-0001,MW_CRFA_2627_002,MW_TNS_M1,Noah Malizwe,,CAF_MW_000182,13,,1h,,,fa,,,,unconfirmed,,
MW_CRFA_2627_G-0002,MW_CRFA_2627_002,MW_MC_M1,Christopher Gomani,,CAF_MW_000048,55,,2h,,,facebook,,,,unconfirmed,,
MW_CRFA_2627_G-0003,MW_CRFA_2627_003,MW_MCHS_M1,Namazana Chiyundo,,CAF_MW_000181,2,,1h,,,fa,,,,unconfirmed,,
MW_CRFA_2627_G-0004,MW_CRFA_2627_003,MW_MCHS_M1,Kondwani Phiri,,CAF_MW_000130,66,,2h,,,facebook,,,,unconfirmed,,
MW_CRFA_2627_G-0012,MW_CRFA_2627_006,MW_SS_M2,Hadji Dyton,,CAF_MW_000090,35,,1h,,,facebook,,,,unconfirmed,,
MW_CRFA_2627_G-0013,MW_CRFA_2627_006,MW_MV_M1,Bright Ngonga,,CAF_MW_000028,21,,1h,,,facebook,,,,unconfirmed,,
MW_CRFA_2627_G-0014,MW_CRFA_2627_007,MW_MU_M1,Legani Saidi,,CAF_MW_000137,25,,1h,,,facebook,,,,unconfirmed,,
MW_CRFA_2627_G-0015,MW_CRFA_2627_007,MW_MU_M1,Steve Chitambaya,,CAF_MW_000227,58,,2h,,,unknown,,,,unconfirmed,,
MW_CRFA_2627_G-0016,MW_CRFA_2627_007,MW_BLUE_M2,Blessings Makhula,,CAF_MW_000022,1,,1h,,,facebook,,,,unconfirmed,,
MW_CRFA_2627_G-0017,MW_CRFA_2627_007,MW_BLUE_M2,Rajabu Mussa,,CAF_MW_000204,41,,1h,,,fa,,,,unconfirmed,,
MW_CRFA_2627_G-0018,MW_CRFA_2627_007,MW_BLUE_M2,Steve Msiska,,CAF_MW_000229,76,,2h,,,unknown,,,,unconfirmed,,
MW_CRFA_2627_G-0019,MW_CRFA_2627_007,MW_BLUE_M2,Samuel Viyuyi,,CAF_MW_000216,81,,2h,,,unknown,,,,unconfirmed,,
MW_CRFA_2627_G-0020,MW_CRFA_2627_015,MW_KFC_M1,David Mwemene,,CAF_MW_000270,,,,,,facebook,https://www.facebook.com/share/p/1D7F3s4NJ7/,,,confirmed,,
MW_CRFA_2627_G-0021,MW_CRFA_2627_022,MW_BLUE_M2,Stiel Chirambo,,CAF_MW_000271,22,,1h,open_play,,facebook,https://www.facebook.com/share/p/18uEhFeVVz/,,,confirmed,,
MW_CRFA_2627_G-0022,MW_CRFA_2627_022,MW_BLUE_M2,Samuel Viyuyu,,CAF_MW_000272,87,,2h,open_play,,facebook,https://www.facebook.com/share/p/18uEhFeVVz/,,,confirmed,,
MW_CRFA_2627_G-0023,MW_CRFA_2627_024,MW_MC_M1,Macdonald Chirwa,,CAF_MW_000273,55,,2h,open_play,,facebook,https://www.facebook.com/share/p/18uEhFeVVz/,,,confirmed,,
MW_CRFA_2627_G-0024,MW_CRFA_2627_024,MW_MC_M1,Christopher Goman,,CAF_MW_000274,90,1,2h,open_play,,facebook,https://www.facebook.com/share/p/18uEhFeVVz/,,,confirmed,,
MW_CRFA_2627_G-0025,MW_CRFA_2627_025,MW_NAA_M1,Lahaman Shaban,,CAF_MW_000275,26,,1h,open_play,,facebook,https://www.facebook.com/share/p/18uEhFeVVz/,,,confirmed,,
MW_CRFA_2627_G-0026,MW_CRFA_2627_026,MW_SS_M2,Crift Msiska,,CAF_MW_000276,16,,1h,open_play,,facebook,https://www.facebook.com/share/p/18uEhFeVVz/,,,confirmed,,
MW_CRFA_2627_G-0027,MW_CRFA_2627_027,MW_MPFC_M1,Justice Honde,,CAF_MW_000277,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0028,MW_CRFA_2627_028,MW_MU_M1,Hamza Owen,,CAF_MW_000278,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0029,MW_CRFA_2627_028,MW_AB_M1,Chisomo Khungwa,,CAF_MW_000279,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0030,MW_CRFA_2627_028,MW_AB_M1,Chisomo Khungwa,,CAF_MW_000279,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0031,MW_CRFA_2627_028,MW_AB_M1,Francis Gunde,,CAF_MW_000281,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0032,MW_CRFA_2627_029,MW_KFC_M1,Aspria Denis,,CAF_MW_000282,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0033,MW_CRFA_2627_029,MW_KFC_M1,Ndaziona Chatsalira,,CAF_MW_000283,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0034,MW_CRFA_2627_029,MW_SA_M1,Gift Mansion,,CAF_MW_000284,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0035,MW_CRFA_2627_031,MW_PFC_M1,Andrew Chilemba,,CAF_MW_000285,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0036,MW_CRFA_2627_031,MW_PFC_M1,Andrew Chilemba,,CAF_MW_000285,,,,,,unknown,,,,confirmed,,
MW_CRFA_2627_G-0037,MW_CRFA_2627_031,MW_PFC_M1,Andrew Chilemba,,CAF_MW_000285,,,,,,unknown,,,,confirmed,,
