goal_id,match_id,team_id,player_name,player_id,minute,stoppage,period,goal_type,assist_player_id,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at
1,1,LESOTHO_M,Makara Ntaitsane,INT_LES_Ntaitsane,87,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2026,,,,,
2,3,ANGOLA_M,Randy Nteka,INT_ANG_NTEKA,48,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2027,,,,,
3,4,MW_M,Richard Mbulu,CAF_MW_000523,5,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2028,,,,,
4,4,MW_M,Gabadinho Mhango,CAF_MW_000496,53,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2029,,,,,
5,4,NAMIBIA_M,Dawid Ndeunyema,INT_NAM_NDEUNYEMA,86,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2030,,,,,
6,5,MW_M,Gabadinho Mhango,CAF_MW_000496,72,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2031,,,,,
7,5,MW_M,Chawanangwa Kawonga,CAF_MW_000527,80,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2032,,,,,
8,5,LIBERIA_M,Ayouba Kosiah,INT_LIB_KOSIAH,3,,1h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2033,,,,,
9,5,LIBERIA_M,Ayouba Kosiah,INT_LIB_KOSIAH,61,,2h,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2034,,,,,
84,41,CAMEROON,Marie Ngah,,20,,,,,,,,,,,
10,7,SAO_TOME_M,Ronaldo Afonso,INT_SAO_AFONSO,62,,2h,penalty,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2035,,,,,
85,41,CAMEROON,Marie Ngah,,45+3,,,,,,,,,,,
