match_id,team_id,player_name,player_id,shirt_number,position,role,captain,motm,minute_on,minute_off,replaced_player,yellow_card,yellow_red_card,red_card
36,MW_W,Mercy Sikelo,CAF_MW_000495,1,GK,starting,,,,,,,,
41,MW_W,Mercy Sikelo,CAF_MW_000495,1,GK,starting,,,,,,,,
41,MW_W,Bernadette Mkandawire,CAF_MW_000515,22,DF,starting,,,,,,,,
36,MW_W,Olivia Phikani,CAF_MW_000521,2,DF,unused_sub,,,,,,,,
36,MW_W,Deborah Henry,CAF_MW_000508,3,FW,unused_sub,,,,,,,,
41,MW_W,Rose Alufandika,CAF_MW_000510,21,DF,starting,,,,,,,,
36,MW_W,Chimwemwe Madise,CAF_MW_000509,4,DF,starting,,,,,,1,,
41,MW_W,Chimwemwe Madise,CAF_MW_000509,4,DF,starting,,,,,,,,
36,MW_W,Tionge Phiri,CAF_MW_000502,5,DF,unused_sub,,,,,,,,
41,MW_W,Ireen Khumalo,CAF_MW_000501,18,DF,starting,,,,,,,,
36,MW_W,Rose Kadzere,CAF_MW_000513,6,FW,starting,,,,90,,,,
41,MW_W,Chikondi Gondwe,CAF_MW_000529,24,MF,starting,,,,43,,,,
36,MW_W,Tendai Sani,CAF_MW_000536,8,MF,unused_sub,,,,,,,,
41,MW_W,Leticia Chinyamula,CAF_MW_000539,15,MF,starting,,,,46,,,,
36,MW_W,Sabinah Thom,CAF_MW_000525,9,FW,sub_on,,,50,,Madyina Nguluwe,,,
41,MW_W,Faith Chinzimu,CAF_MW_000538,17,MF,starting,,,,,,,,
41,MW_W,Asimenye Simwaka,CAF_MW_000528,7,FW,starting,,,,78,,,,
36,MW_W,Temwa Chawinga,CAF_MW_000530,10,FW,starting,,,,,,,,
36,MW_W,Tabitha Chawinga,CAF_MW_000503,11,FW,starting,1,,,,,,,
41,MW_W,Tabitha Chawinga,CAF_MW_000503,11,FW,starting,1,,,,,,,
41,MW_W,Temwa Chawinga,CAF_MW_000530,10,FW,starting,,,,,,,,
36,MW_W,Madyina Nguluwe,CAF_MW_000533,12,MF,starting,,,,50,,1,,
36,MW_W,Vanessa Chikupira,CAF_MW_000494,13,MF,sub_on,,,90,,Rose Kadzere,,,
41,MW_W,Tendai Sani,CAF_MW_000536,8,MF,sub_on,,,43,,Chikondi Gondwe,,,
