match_id,team_code,date,competition,opponent,home_away,neutral,venue,kickoff,city,country,team_score,opponent_score,status,coach,extra_time,penalty_shootout,extra_time_result,source_ref,referee,assistant_referee_1,assistant_referee_2,fourth_official,opponent_coach,referee_id,assistant_referee_1_id,assistant_referee_2_id,fourth_official_id,coach_id,opponent_coach_id
1,MW_M,2025-06-05,COSAFA Cup,Lesotho,home,1,Free State Stadium,,Bloemfontein,South Africa,0,1,played,,,FALSE,,,,,,,,,,,,,
2,MW_M,2025-06-05,COSAFA Cup,Namibia,away,1,Dr. Petrus Molemela Stadium,,Bloemfontein,South Africa,0,0,played,,,FALSE,,,,,,,,,,,,,
3,MW_M,2025-06-05,COSAFA Cup,Angola,home,1,Free State Stadium,,Bloemfontein,South Africa,0,1,played,,,FALSE,,,,,,,,,,,,,
4,MW_M,2025-09-05,World Cup Qualification,Namibia,away,1,Obed Itani Chilume Stadium,,Francistown,Botswana,2,1,played,,,FALSE,,,,,,,,,,,,,
5,MW_M,2025-09-08,World Cup Qualification,Liberia,home,,Bingu National Stadium,,Lilongwe,Malawi,2,2,played,,,FALSE,,,,,,,,,,,,,
6,MW_M,2025-10-09,World Cup Qualification,Equatorial Guinea,home,,Bingu National Stadium,,Lilongwe,Malawi,3,0,awarded,,,FALSE,,,,,,,,,,,,,
7,MW_M,2025-10-13,World Cup Qualification,São Tomé and Príncipe,away,1,Sousse Olympic Stadium,,Sousse,Tunisia,0,1,played,,,FALSE,,,,,,,,,,,,,
8,MW_M,2025-11-15,Friendly,Lesotho,home,1,Toyota Stadium,,Bloemfontein,South Africa,0,0,played,,,FALSE,,,,,,,,,,,,,
9,MW_M,2025-11-18,Friendly,Lesotho,home,1,Toyota Stadium,,Bloemfontein,South Africa,1,0,played,,,FALSE,,,,,,,,,,,,,
10,MW_M,2026-03-28,2026 Four Nations Tournament,Zambia,away,1,Obed Itani Chilume Stadium,,Francistown,Botswana,0,0,played,,1,TRUE,loss,,,,,,,,,,,,
11,MW_M,2026-03-31,2026 Four Nations Tournament,Botswana,home,1,Obed Itani Chilume Stadium,,Francistown,Botswana,0,1,played,,,FALSE,,,,,,,,,,,,,
12,MW_M,2026-06-06,Friendly,Ethiopia,away,,Dire Dawa Stadium,,Dire Dawa,Ethiopia,0,1,played,,,FALSE,,,,,,,,,,,,,
13,MW_M,2026-06-09,Friendly,Ethiopia,away,,Dire Dawa Stadium,,Dire Dawa,Ethiopia,1,1,played,,,FALSE,,"https://www.instagram.com/p/DZXjNRxixva/?hl=en, https://www.instagram.com/p/DZX3bNzitWc/?hl=en",,,,,,,,,,,
14,MW_M,tbd,AFCON Qualification,Angola,home,,tbd,,tbd,Malawi,,,scheduled,,,FALSE,,,,,,,,,,,,,
15,MW_M,tbd,AFCON Qualification,Angola,away,,tbd,,tbd,Angola,,,scheduled,,,FALSE,,,,,,,,,,,,,
16,MW_M,tbd,AFCON Qualification,Egypt,away,,tbd,,tbd,Egypt,,,scheduled,,,FALSE,,,,,,,,,,,,,
17,MW_M,tbd,AFCON Qualification,Egypt,home,,tbd,,tbd,Malawi,,,scheduled,,,FALSE,,,,,,,,,,,,,
18,MW_M,tbd,AFCON Qualification,South Sudan,home,,tbd,,tbd,Malawi,,,scheduled,,,FALSE,,,,,,,,,,,,,
19,MW_M,tbd,AFCON Qualification,South Sudan,away,,tbd,,tbd,South Sudan,,,scheduled,,,FALSE,,,,,,,,,,,,,
20,MW_W,2025-06-19,Friendly,Morocco,away,,Kenitra Municipal Stadium,,Kenitra,Morocco,2,4,played,,,FALSE,,,,,,,,,,,,,
21,MW_W,2025-06-21,Friendly,Ghana,away,1,Ziaida Complex,,Ben Slimane,Morocco,1,3,played,,,FALSE,,,,,,,,,,,,,
22,MW_W,2025-08-29,Friendly,Lesotho,home,,Mpira Stadium,,Blantyre,Malawi,3,0,played,,,FALSE,,,,,,,,,,,,,
23,MW_W,2025-08-31,Friendly,Lesotho,home,,Mpira Stadium,,Blantyre,Malawi,3,0,played,,,FALSE,,,,,,,,,,,,,
24,MW_W,2025-10-23,WAFCON Qualification,Angola,away,,Estádio 11 de Novembro,,Luanda,Angola,0,0,played,,,FALSE,,,,,,,,,,,,,
25,MW_W,2025-10-28,WAFCON Qualification,Angola,home,,Bingu National Stadium,,Lilongwe,Malawi,2,0,played,,,FALSE,,,,,,,,,,,,,
26,MW_W,2025-11-28,3 Nations Tournament,Zimbabwe,away,,Bingu National Stadium,,Lilongwe,Malawi,1,2,played,,,FALSE,,,,,,,,,,,,,
27,MW_W,2025-11-30,3 Nations Tournament,Zambia,home,1,Bingu National Stadium,,Lilongwe,Malawi,1,1,played,,,FALSE,,,,,,,,,,,,,
28,MW_W,2026-02-18,2025 COSAFA Championship,South Africa,away,,Old Peter Mokaba Stadium,,Polokwane,South Africa,0,2,played,,,FALSE,,,,,,,,,,,,,
29,MW_W,2026-02-21,2025 COSAFA Championship,Lesotho,home,1,Seshego Stadium,,Polokwane,South Africa,8,1,played,,,FALSE,,,,,,,,,,,,,
