squad_id,competition,match_id_range,team_id,announcement_date,competition_context,player_name,player_id,position,shirt_number,club,domestic_team_id,club_country,notes,coach,source_type,source_ref,reported_by,reported_at,confidence,verified_by,verified_at
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,George Chikooka,,GK,,Silver Strikers,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2026,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,William Thole,,GK,,Simba Bhora,,Zimbabwe,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2027,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Joshua Waka,,GK,,Ekhaya,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2028,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Charles Petro,,DF,,Botoșani,,Romania,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2029,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Gomezgani Chirwa,,DF,,Ngezi Platinum,,Zimbabwe,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2030,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,McDonald Lameck,,DF,,Silver Strikers,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2031,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Maxwell Paipi,,DF,,Platinum,,Zimbabwe,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2032,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Nickson Nyasulu,,DF,,Platinum,,Zimbabwe,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2033,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Emmanuel Nyirenda,,DF,,Mighty Wanderers,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2034,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Lloyd Aaron,,MF,,Al Sadaqa,,Libya,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2035,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Wisdom Mpinganjira,,MF,,Black Bulls,,Mozambique,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2036,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Lloyd Njaliwa,,MF,,CAPS United,,Zimbabwe,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2037,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Robert Saizi,,MF,,Zanaco,,Zambia,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2038,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Gaddie Chirwa,,MF,,Mighty Wanderers,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2039,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Yankho Singo,,MF,,Nyasa Big Bullets,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2040,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Festus Duwe,,MF,,Silver Strikers,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2041,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Mwisho Mhango,,MF,,Hannover 96,,Germany,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2042,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Chawanangwa Gumbo,,MF,,Nyasa Big Bullets,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2043,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Richard Mbulu,,FW,,Costa do Sol,,Mozambique,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2044,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Chawanangwa Kawonga,,FW,,CAPS United,,Zimbabwe,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2045,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Patrick Mwaungulu,,FW,,TP Mazembe,,DR Congo,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2046,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Chikumbutso Salima,,FW,,Al Merrikh,,Sudan,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2047,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Mayele Malango,,FW,,Sacramento Republic,,USA,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2048,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Babatune Adepoju,,FW,,Venda,,South Africa,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2049,,,,,
1,2026_FNT,10-11,MW_M,,2026 Four Nations Tournament,Ephraim Kondowe,,FW,,Nyasa Big Bullets,,Malawi,,,wikipedia,https://en.wikipedia.org/wiki/Malawi_national_football_team#2050,,,,,
2,2026_WAFCON,36-38,MW_W,2026-07-11,2026 Women's Africa Cup of Nations,Leticia Chinyamula,MW_W_019,MF,15,Ascent Soccer Academy,MW_ASA_W1,Malawi,,Lovemore Fazili,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations_squads#Malawi,,,,,
2,2026_WAFCON,36-38,MW_W,2026-07-11,2026 Women's Africa Cup of Nations,Maggie Chavula,MW_W_022,DF,14,Ascent Soccer Academy,MW_ASA_W1,Malawi,,Lovemore Fazili,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations_squads#Malawi,,,,,
2,2026_WAFCON,36-38,MW_W,2026-07-11,2026 Women's Africa Cup of Nations,Faith Chinzimu,MW_W_007,MF,17,BK Häcken,,Sweden,,Lovemore Fazili,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations_squads#Malawi,,,,,
2,2026_WAFCON,36-38,MW_W,2026-07-11,2026 Women's Africa Cup of Nations,Mercy Sikelo,MW_W_014,GK,1,Civil Service United,MW_CSUW_W1,Malawi,,Lovemore Fazili,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations_squads#Malawi,,,,,
2,2026_WAFCON,36-38,MW_W,2026-07-11,2026 Women's Africa Cup of Nations,Vitumbiko Mkandawire,MW_W_011,FW,26,Civil Service United,MW_CSUW_W1,Malawi,,Lovemore Fazili,wikipedia,https://en.wikipedia.org/wiki/2026_Women's_Africa_Cup_of_Nations_squads#Malawi,,,,,
