official_id,full_name,known_as,kind,status
MW_OFF_000001,Godfrey Nkhakananga,,referee,active
MW_OFF_000002,Thomas Mang’amba,,referee,active
MW_OFF_000003,Saul Manjawira,,referee,active
MW_OFF_000004,Peter Jossam,,referee,active
MW_OFF_000005,Peter Mgangira,,coach,active
MW_OFF_000006,Idrissah Matola,,referee,active
MW_OFF_000007,Samson Wasili,,referee,active
MW_OFF_000008,Emily Chathamthumba,,referee,active
MW_OFF_000009,Kondwani Kamwendo,,referee,active
MW_OFF_000010,Strauss Magwaza,,referee,active
MW_OFF_000011,Zagallo Chimbulumata,,referee,active
MW_OFF_000012,Cedric Mwachumu,,referee,active
MW_OFF_000013,Grant Mussa,,referee,active
MW_OFF_000014,McHestings Kanjati,,referee,active
MW_OFF_000015,Waliko Simfuwe,,referee,active
MW_OFF_000016,Happiness Mbandambanda,,referee,active
MW_OFF_000017,Zebron Lengani,,referee,active
MW_OFF_000018,Sibusiso Sibande,,referee,active
MW_OFF_000019,Mercy Mziya,,referee,active
MW_OFF_000020,Evance Msonda,,referee,active
MW_OFF_000021,Chikumbutso Chimndaka,,referee,active
MW_OFF_000022,Alfred Chilinda,,referee,active
MW_OFF_000023,Idih Hassan,,referee,active
MW_OFF_000024,Yohane Chiutika,,referee,active
MW_OFF_000025,Henry Kabichi,,coach,active
MW_OFF_000026,Yamikani Fodya,,coach,active
MW_OFF_000027,Wedson Nyirenda,,coach,active
MW_OFF_000028,Kondwa Mwamlima Ikwanga,,coach,active
MW_OFF_000029,Charles Chimimba,,referee,active
MW_OFF_000030,Mathias Chirwa,,referee,active
MW_OFF_000031,Gift Chicco,,referee,active
MW_OFF_000032,Clemence Kanduku,,referee,active
MW_OFF_000033,Pondamali Tembo Chimdaka,,referee,active
MW_OFF_000034,Lingson Banda,,referee,active
MW_OFF_000035,Dickson McCloud,,referee,active
MW_OFF_000036,Limbani John,,referee,active
MW_OFF_000037,William Chidambo,,referee,active
MW_OFF_000038,Jonas Jonathan,,referee,active
MW_OFF_000039,Gerald Charles Chimimba,,referee,active
MW_OFF_000040,Mackson Phiri,,referee,active
MW_OFF_000041,Malumbo Mkandawire,,coach,active
MW_OFF_000042,Prichard Mwansa,,coach,active
MW_OFF_000043,Laston Phiri,,coach,active
MW_OFF_000044,Tumpale Kasote,,coach,active
MW_OFF_000045,Kalisto Pasuwa,,coach,active
MW_OFF_000046,Mcfallen Mafuta,,coach,active
