player_id,full_name,known_as,dob,position,nationality,status
CAF_MW_UNKNOWN,Unknown Player,,,,,active
CAF_MW_000001,Abraham Mkandawire,,,,,active
CAF_MW_000002,Adam Ali,,,,,active
CAF_MW_000472,Tathedwa Willard,,,,,active
CAF_MW_000003,Adam Alieh,,,,,active
CAF_MW_000473,Hassan Hussein,,,,,active
CAF_MW_000004,Akim Mponda,,,,,active
CAF_MW_000474,Emmanuel Nyi,,,,,active
CAF_MW_000005,Alex Benson,,,,,active
CAF_MW_000475,Emmanuel Nyirenda,,,,,active
CAF_MW_000006,Alex Mkolongo,,,,,active
CAF_MW_000476,Joseph Ziwa,,,,,active
CAF_MW_000007,Alexander Cosmas,,,,,active
CAF_MW_000477,Tyson Soko,,,,,active
CAF_MW_000008,Allan Msowoya,,,,,active
CAF_MW_000478,Kingsley Mkandawire,,,,,active
CAF_MW_000009,Allen Chihana,,,,,active
CAF_MW_000010,Amin Yusuf,,,,,active
CAF_MW_000479,Abraham Mvula,,,,,active
CAF_MW_000011,Amon Fack,,,,,active
CAF_MW_000480,Charles Kamanga Mapalo Gumbo,,,,,active
CAF_MW_000481,Charles Kamanga,,,,,active
CAF_MW_000012,Andrew Donda,,,,,active
CAF_MW_000482,Wanangwa Gama,,,,,active
CAF_MW_000013,Andrew Joseph,,,,,active
CAF_MW_000483,James Zonga,,,,,active
CAF_MW_000014,Atusaye Mwangonde,,,,,active
CAF_MW_000484,Madalitso Jeffrey,,,,,active
CAF_MW_000015,Awalu Alli,,,,,active
CAF_MW_000016,Benett Konyo,,,,,active
CAF_MW_000017,Benito Chikumbu,,,,,active
CAF_MW_000018,Beston Jimu,,,,,active
CAF_MW_000485,Chinsinsi Twaya,,,,,active
CAF_MW_000019,Blessings Gustina,,,,,active
CAF_MW_000486,Gift Mwale,,,,,active
CAF_MW_000020,Blessings Harawa,,,,,active
CAF_MW_000487,Tadala Masina,,,,,active
CAF_MW_000021,Blessings Joseph,,,,,active
CAF_MW_000488,Yassin Salima,,,,,active
CAF_MW_000022,Blessings Makhula,,,,,active
CAF_MW_000023,Blessings Malinda,,,,,active
CAF_MW_000489,Wongani Phiri,,,,,active
CAF_MW_000490,Samuel Nyanda,,,,,active
CAF_MW_000024,Blessings Mofolo,,,,,active
CAF_MW_000025,Blessings Mpokera,,,,,active
CAF_MW_000491,Victor Kafuwa,,,,,active
CAF_MW_000492,Shafie Asima,,,,,active
CAF_MW_000026,Blessings Mwalilino,,,,,active
CAF_MW_000493,Yankho Singo,,,,,active
CAF_MW_000027,Blessings Singini,,,,,active
CAF_MW_000494,Vanessa Chikupira,,,,,active
CAF_MW_000028,Bright Ngonga,,,,,active
CAF_MW_000495,Mercy Sikelo,,,,,active
CAF_MW_000029,Brown Aman,,,,,active
CAF_MW_000496,Gabadinho Mhango,,,,,active
CAF_MW_000030,Brown Maganga,,,,,active
CAF_MW_000497,Joshua Waka,,,,,active
CAF_MW_000031,Calisto Kaliwo,,,,,active
CAF_MW_000032,Charles Chipala,,,,,active
CAF_MW_000499,Charles Petro,,,,,active
CAF_MW_000033,Charles Mafaiti,,,,,active
CAF_MW_000500,Lloyd Njaliwa,,,,,active
CAF_MW_000034,Charles Nkhoma,,,,,active
CAF_MW_000501,Ireen Khumalo,,,,,active
CAF_MW_000035,Chifundo Ngonjera,,,,,active
CAF_MW_000502,Tionge Phiri,,,,,active
CAF_MW_000036,Chifuniro Mpinganjira,,,,,active
CAF_MW_000503,Tabitha Chawinga,,,,,active
CAF_MW_000037,Chikaiko Batson,,,,,active
CAF_MW_000504,Wisdom Mpinganjira,,,,,active
CAF_MW_000038,Chikumbutso Batison,,,,,active
CAF_MW_000505,Vitumbiko Mkandawire,,,,,active
CAF_MW_000039,,,,,,active
CAF_MW_000506,Mwisho Mhango,,,,,active
CAF_MW_000040,Chikumbutso Burton,,,,,active
CAF_MW_000507,William Thole,,,,,active
CAF_MW_000041,Chimwemwe Chunga,,,,,active
CAF_MW_000508,Deborah Henry,,,,,active
CAF_MW_000042,Chimwemwe Nyoni,,,,,active
CAF_MW_000509,Chimwemwe Madise,,,,,active
CAF_MW_000043,Chinsisi Maonga,,,,,active
CAF_MW_000510,Rose Alufandika,,,,,active
CAF_MW_000044,Chipiliro Afiki,,,,,active
CAF_MW_000511,Esther Maulidi,,,,,active
CAF_MW_000045,Chipiliro Phillip,,,,,active
CAF_MW_000046,Chisomo Damalankhunda,,,,,active
CAF_MW_000513,Rose Kadzere,,,,,active
CAF_MW_000047,Christopher Chulu,,,,,active
CAF_MW_000514,Chikumbutso Salima,,,,,active
CAF_MW_000048,Christopher Gomani,,,,,active
CAF_MW_000515,Bernadette Mkandawire,,,,,active
CAF_MW_000049,Clement Nyondo,,,,,active
CAF_MW_000516,Chisomo Banda,,,,,active
CAF_MW_000050,Clever Kalambo,,,,,active
CAF_MW_000517,Gomezgani Chirwa,,,,,active
CAF_MW_000051,Clifford Msowoya,,,,,active
CAF_MW_000518,Patrick Mwaungulu,,,,,active
CAF_MW_000052,Corazo Zonda,,,,,active
CAF_MW_000519,Sarah Mulimbika,,,,,active
CAF_MW_000053,Darian latf,,,,,active
CAF_MW_000520,Maggie Chavula,,,,,active
CAF_MW_000054,Dickson Mwangonde,,,,,active
CAF_MW_000521,Olivia Phikani,,,,,active
CAF_MW_000055,Dominic Kayamba,,,,,active
CAF_MW_000522,Babatunde Adepoju,,,,,active
CAF_MW_000056,Duncan Kumbuyo,,,,,active
CAF_MW_000523,Richard Mbulu,,,,,active
CAF_MW_000057,Dyson Daud,,,,,active
CAF_MW_000524,Maxwell Paipi,,,,,active
CAF_MW_000058,Dyson Moffat,,,,,active
CAF_MW_000525,Sabinah Thom,,,,,active
CAF_MW_000059,Eckison Paul,,,,,active
CAF_MW_000526,Mayele Malango,,,,,active
CAF_MW_000060,Edson Chibalo,,,,,active
CAF_MW_000527,Chawanangwa Kawonga,,,,,active
CAF_MW_000061,Elias Muywanga,,,,,active
CAF_MW_000528,Asimenye Simwaka,,,,,active
CAF_MW_000062,Emmanuel Chikadza,,,,,active
CAF_MW_000529,Chikondi Gondwe,,,,,active
CAF_MW_000063,Emmanuel Mkawa,,,,,active
CAF_MW_000530,Temwa Chawinga,,,,,active
CAF_MW_000064,Emmanuel Munthali,,,,,active
CAF_MW_000531,Lyna James,,,,,active
CAF_MW_000065,Emmanuel Nkawa,,,,,active
CAF_MW_000532,Lloyd Aaron,,,,,active
CAF_MW_000066,Emmanuel Nyakutepa,,,,,active
CAF_MW_000533,Madyina Nguluwe,,,,,active
CAF_MW_000067,Enock Jobo,,,,,active
CAF_MW_000534,Nickson Nyasulu,,,,,active
CAF_MW_000068,Enock Kaonga,,,,,active
CAF_MW_000535,Chawanangwa Gumbo,,,,,active
CAF_MW_000069,Ephraim Kondowe,,,,,active
CAF_MW_000536,Tendai Sani,,,,,active
CAF_MW_000070,Eric Sadia,,,,,active
CAF_MW_000537,Yamikani Kawonga,,,,,active
CAF_MW_000071,Ernest Petro,,,,,active
CAF_MW_000538,Faith Chinzimu,,,,,active
CAF_MW_000072,Farhad Mtcheka,,,,,active
CAF_MW_000539,Leticia Chinyamula,,,,,active
CAF_MW_000073,Feston Makanjira,,,,,active
CAF_MW_000540,Robert Saizi,,,,,active
CAF_MW_000074,Festus Duwe,,,,,active
CAF_MW_000541,Eric Astigah,,,,,active
CAF_MW_000075,Francis Chirwa,,,,,active
CAF_MW_000542,Tatenda M'Balaka,,,,,active
CAF_MW_000076,Francis Malikebu,,,,,active
CAF_MW_000543,Levison Maganizo,,,,,active
CAF_MW_000077,Francis Mchema,,,,,active
CAF_MW_000544,Lameck Gamphani,,,,,active
CAF_MW_000078,Frank London,,,,,active
CAF_MW_000545,Austin Yasin,,,,,active
CAF_MW_000079,Fred Banda,,,,,active
CAF_MW_000080,Friday Osagie,,,,,active
CAF_MW_000546,Precious Kapunda,,,,,active
CAF_MW_000547,Emmanuel Allan,,,,,active
CAF_MW_000081,George Chaomba,,,,,active
CAF_MW_000548,Felix Dumakude,,,,,active
CAF_MW_000082,George Makoko,,,,,active
CAF_MW_000083,Gerald Ngwira,,,,,active
CAF_MW_000549,Charles Thom,,,,,active
CAF_MW_000550,Innocent Mtonga,,,,,active
CAF_MW_000084,Gerson Justin,,,,,active
CAF_MW_000551,Innocent Smart,,,,,active
CAF_MW_000085,Godfrey Sibale,,,,,active
CAF_MW_000086,Golden Mafunga,,,,,active
CAF_MW_000552,Christopher Gototo,,,,,active
CAF_MW_000553,Dan Sandukira,,,,,active
CAF_MW_000087,Grant Chibalo,,,,,active
CAF_MW_000554,Yankho Billiat,,,,,active
CAF_MW_000088,Grecian Justin,,,,,active
CAF_MW_000555,Christopher Mikuwa,,,,,active
